id	pmc3	soc3	ozc3	pmc2	soc2	ozc2	pmc1	soc1	ozc1
13160	24.83606	.033862	.079567	25.44022	.062854	.109262	28.70573	.0589	.070686
13182	21.81377	.040662	.109436	25.96934	.039194	.086312	31.11398	.040396	.06933
16013	21.58669	.030813	.112247	23.76309	.036643	.105391	27.3028	.05035	.113636
15004	22.40114	.032819	.102276	21.78684	.034704	.148625	24.84025	.035535	.113884
15780	23.44922	.035697	.104548	21.54909	.035231	.141837	25.01458	.048292	.112789
14853	23.36584	.035878	.105289	21.63403	.033455	.105175	23.75949	.034892	.098506
13891	23.57661	.03466	.10668	21.77836	.030796	.116518	24.39286	.045983	.117191
14173	24.23273	.03354	.112752	21.93736	.029905	.135115	24.15846	.03584	.126366
13167	21.35486	.053183	.079196	21.74324	.040346	.111555	25.37864	.063674	.109821
12634	21.61164	.048967	.06718	21.46161	.036319	.090815	24.86148	.03363	.071592
16420	22.06524	.044059	.120779	23.50892	.03478	.106339	21.83242	.033496	.143571
15567	22.66367	.044046	.111595	21.90247	.032983	.105304	24.65582	.048156	.108221
15243	22.85419	.043619	.117205	22.31764	.032486	.106253	25.38927	.047161	.120493
15092	22.54799	.043997	.113623	21.72564	.034591	.146386	25.19136	.047666	.118141
12778	21.46828	.046202	.080094	21.10399	.037165	.122005	30.33544	.050851	.071968
15223	22.53868	.043731	.115229	22.47046	.032363	.102035	21.85207	.034144	.150055
15192	22.51615	.043767	.115105	22.48934	.032325	.101545	25.46361	.047167	.127201
13114	21.48706	.047402	.067653	21.55607	.03797	.116427	24.37264	.034437	.071523
16350	21.87452	.043965	.127812	21.80847	.030529	.121371	22.0032	.033133	.145875
13171	21.436	.052814	.078535	22.64075	.045578	.092684	25.42791	.064976	.109605
13268	22.04781	.044254	.071388	23.2797	.036288	.085646	21.6392	.038604	.118097
13990	21.73127	.043528	.144375	22.26795	.03227	.154041	24.06682	.035708	.127671
15705	22.77018	.043943	.109918	21.51822	.035165	.142417	24.39654	.035219	.102999
13124	21.38158	.050837	.074591	22.57835	.043962	.088081	25.32184	.059255	.109389
15467	22.48643	.043773	.114975	23.56227	.03527	.108819	24.91382	.035683	.119486
16309	21.84811	.044155	.124695	24.29675	.045728	.118197	27.91772	.050575	.111578
15985	21.89422	.044513	.116331	21.42941	.033792	.141779	33.88913	.038095	.107233
15205	22.50165	.043769	.115016	26.43622	.04783	.119333	33.55918	.03789	.118631
16034	21.61406	.044793	.116166	22.9832	.035332	.104708	23.92208	.046241	.112613
15189	22.50982	.043784	.115062	24.90414	.035791	.117568	33.5827	.037871	.117907
12688	21.59452	.046814	.06545	24.36702	.033938	.070032	32.4803	.040377	.066577
14481	21.70648	.042762	.137178	24.00234	.031844	.110117	21.8292	.028544	.130656
