	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	lnwpu	lnwpu	lnwpu	lnwpu	lnwpu	lnwpr	lnwpr	lnwpr	lnwpr	lnwpr	lnwto	lnwto	lnwto	lnwto	lnwto
															
imp_post	-0.12**	-0.06*	-0.10**	-0.12***	-0.12	0.03	0.08	0.05	0.03	0.06	-0.06*	-0.02	-0.05*	-0.07**	-0.06
	(0.047)	(0.033)	(0.039)	(0.047)	(0.071)	(0.074)	(0.065)	(0.077)	(0.073)	(0.089)	(0.034)	(0.018)	(0.026)	(0.034)	(0.054)
impost_4				0.04					0.01					0.06	
				(0.054)					(0.088)					(0.038)	
imp_pre23					-0.00					0.06					0.01
					(0.083)					(0.101)					(0.071)
															
Observations	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368
Number of leaid	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92
Robust standard errors in parentheses															
*** p<0.01, ** p<0.05, * p<0.1															
