	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	lnwpu	lnwpu	lnwpu	lnwpu	lnwpu	lnwpr	lnwpr	lnwpr	lnwpr	lnwpr	lnwto	lnwto	lnwto	lnwto	lnwto
															
imp_post_south	-0.14**	-0.04	-0.10	-0.14**	-0.12	-0.04	0.07	0.04	-0.04	0.03	-0.12***	-0.03	-0.08*	-0.13***	-0.14*
	(0.070)	(0.047)	(0.062)	(0.068)	(0.127)	(0.104)	(0.100)	(0.126)	(0.103)	(0.139)	(0.045)	(0.028)	(0.042)	(0.044)	(0.077)
impost_4_south				0.08					0.03					0.11	
				(0.115)					(0.225)					(0.074)	
imp_post_nonsouth	-0.08*	-0.10***	-0.10*	-0.08	-0.10*	0.16**	0.11**	0.07	0.17**	0.14	0.04	-0.00	-0.01	0.04	0.05
	(0.047)	(0.036)	(0.054)	(0.053)	(0.049)	(0.076)	(0.049)	(0.075)	(0.086)	(0.093)	(0.041)	(0.015)	(0.030)	(0.046)	(0.062)
impost_4_nonsouth				0.00					-0.04					0.01	
				(0.061)					(0.068)					(0.042)	
imp_pre23_south					0.03					0.12					-0.02
					(0.140)					(0.152)					(0.093)
imp_pre23_nonsouth					-0.05					-0.05					0.01
					(0.076)					(0.108)					(0.110)
															
Observations	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368
Number of leaid	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92
Robust standard errors in parentheses															
*** p<0.01, ** p<0.05, * p<0.1															
