	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)
VARIABLES	lnbpu	lnbpu	lnbpu	lnbpu	lnbpu	lnbpu	lnbpu	lnbpu	lnbpu	lnbpr	lnbpr	lnbpr	lnbpr	lnbpr	lnbpr	lnbpr	lnbpr	lnbpr	lnbto	lnbto	lnbto	lnbto	lnbto	lnbto	lnbto	lnbto	lnbto
																											
imp_post	0.02	-0.00					0.02	0.04	0.02	-0.20	-0.16					-0.18	-0.14	-0.19	0.01	-0.01					0.01	0.01	0.01
	(0.032)	(0.029)					(0.040)	(0.033)	(0.045)	(0.137)	(0.133)					(0.162)	(0.144)	(0.121)	(0.027)	(0.026)					(0.027)	(0.024)	(0.039)
impost_4		0.14***	0.14***	0.09***	0.12***	0.14***					-0.18*	-0.22**	-0.24**	-0.28**	-0.20**					0.08***	0.08***	0.04*	0.06**	0.08***			
		(0.034)	(0.034)	(0.032)	(0.033)	(0.036)					(0.100)	(0.105)	(0.092)	(0.112)	(0.100)					(0.029)	(0.027)	(0.021)	(0.025)	(0.029)			
imp_pre23						0.02			-0.01						0.06			0.01						0.02			0.00
						(0.034)			(0.045)						(0.160)			(0.154)						(0.028)			(0.039)
																											
Observations	368	368	368	368	368	368	368	368	368	367	367	367	367	367	367	367	367	367	368	368	368	368	368	368	368	368	368
Number of leaid	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92
Robust standard errors in parentheses																											
*** p<0.01, ** p<0.05, * p<0.1																											
