state	year	quarter	index
AK	1975	1	61.78
AK	1975	2	62.97
AK	1975	3	63.27
AK	1975	4	88.22
AK	1976	1	79.59
AK	1976	2	78.72
AK	1976	3	68.15
AK	1976	4	74.4
AK	1977	1	76.43
AK	1977	2	76.68
AK	1977	3	76.38
AK	1977	4	78.92
AK	1978	1	80.79
AK	1978	2	86.46
AK	1978	3	88.16
AK	1978	4	86.26
AK	1979	1	88.22
AK	1979	2	99.39
AK	1979	3	93.79
AK	1979	4	93.41
AK	1980	1	100
AK	1980	2	82.95
AK	1980	3	81.03
AK	1980	4	85.95
AK	1981	1	99.18
AK	1981	2	108.68
AK	1981	3	112.79
AK	1981	4	127.22
AK	1982	1	131.76
AK	1982	2	126.67
AK	1982	3	137.75
AK	1982	4	135.08
AK	1983	1	135.4
AK	1983	2	141.69
AK	1983	3	143.34
AK	1983	4	144.69
AK	1984	1	148.36
AK	1984	2	144.73
AK	1984	3	150.36
AK	1984	4	148.38
AK	1985	1	142.03
AK	1985	2	142.36
AK	1985	3	142.12
AK	1985	4	138.96
AK	1986	1	138.52
AK	1986	2	141.32
AK	1986	3	136.78
AK	1986	4	133.42
AK	1987	1	129.66
AK	1987	2	121.74
AK	1987	3	112.9
AK	1987	4	102.5
AK	1988	1	118.27
AK	1988	2	113.26
AK	1988	3	122.66
AK	1988	4	128.91
AK	1989	1	124.98
AK	1989	2	101.62
AK	1989	3	101.68
AK	1989	4	99.97
AK	1990	1	96.07
AK	1990	2	109.25
AK	1990	3	118.82
AK	1990	4	116.05
AK	1991	1	121.21
AK	1991	2	124.04
AK	1991	3	127.83
AK	1991	4	127.92
AK	1992	1	129.51
AK	1992	2	130.79
AK	1992	3	131.62
AK	1992	4	132.66
AK	1993	1	131.85
AK	1993	2	132.61
AK	1993	3	134.91
AK	1993	4	135.5
AK	1994	1	136.6
AK	1994	2	139.69
AK	1994	3	141.73
AK	1994	4	140.38
AK	1995	1	143.06
AK	1995	2	145.12
AK	1995	3	146.42
AK	1995	4	147.07
AK	1996	1	149.42
AK	1996	2	152.18
AK	1996	3	152.4
AK	1996	4	154.4
AK	1997	1	154.31
AK	1997	2	155.25
AK	1997	3	156.66
AK	1997	4	158.44
AK	1998	1	158.55
AK	1998	2	161.23
AK	1998	3	162.14
AK	1998	4	162.26
AK	1999	1	164.23
AK	1999	2	167.49
AK	1999	3	166.94
AK	1999	4	167.2
AK	2000	1	166.91
AK	2000	2	169.42
AK	2000	3	169.93
AK	2000	4	170.49
AK	2001	1	173.72
AK	2001	2	176.91
AK	2001	3	179.9
AK	2001	4	179.89
AK	2002	1	183.07
AK	2002	2	187.83
AK	2002	3	189.28
AK	2002	4	188.87
AK	2003	1	190.42
AK	2003	2	192.99
AK	2003	3	197.72
AK	2003	4	205.03
AK	2004	1	206.17
AK	2004	2	211.19
AK	2004	3	222.32
AK	2004	4	225.31
AK	2005	1	230.69
AK	2005	2	238.76
AK	2005	3	248.99
AK	2005	4	256.72
AK	2006	1	261.34
AK	2006	2	269.15
AK	2006	3	276.32
AK	2006	4	269.33
AK	2007	1	278.7
AK	2007	2	284.3
AK	2007	3	285.87
AK	2007	4	285.4
AL	1975	1	70.19
AL	1975	2	70.34
AL	1975	3	76.17
AL	1975	4	68.35
AL	1976	1	75.36
AL	1976	2	72.74
AL	1976	3	74.49
AL	1976	4	77.05
AL	1977	1	82.4
AL	1977	2	82.05
AL	1977	3	80.44
AL	1977	4	81.76
AL	1978	1	85.02
AL	1978	2	85.58
AL	1978	3	92.88
AL	1978	4	88.75
AL	1979	1	96.33
AL	1979	2	97.44
AL	1979	3	97.98
AL	1979	4	97.35
AL	1980	1	100
AL	1980	2	99.26
AL	1980	3	98.34
AL	1980	4	101.09
AL	1981	1	101.53
AL	1981	2	99.41
AL	1981	3	103.09
AL	1981	4	104.52
AL	1982	1	103.15
AL	1982	2	104.99
AL	1982	3	103.45
AL	1982	4	108.98
AL	1983	1	111.28
AL	1983	2	108.98
AL	1983	3	110.41
AL	1983	4	110.65
AL	1984	1	114.37
AL	1984	2	114.42
AL	1984	3	117.83
AL	1984	4	115.96
AL	1985	1	115.48
AL	1985	2	118.45
AL	1985	3	121.11
AL	1985	4	121.53
AL	1986	1	123.82
AL	1986	2	125.18
AL	1986	3	127.49
AL	1986	4	129.14
AL	1987	1	131.01
AL	1987	2	132.35
AL	1987	3	132.71
AL	1987	4	132.28
AL	1988	1	135.52
AL	1988	2	136.51
AL	1988	3	135.57
AL	1988	4	134.65
AL	1989	1	135.43
AL	1989	2	136.61
AL	1989	3	138.47
AL	1989	4	139.3
AL	1990	1	139.2
AL	1990	2	140.48
AL	1990	3	140.51
AL	1990	4	140.66
AL	1991	1	142.13
