msa	msacode	year	quarter	index_msa
"Abilene, TX"	10180	1975	1	-
"Abilene, TX"	10180	1975	2	-
"Abilene, TX"	10180	1975	3	-
"Abilene, TX"	10180	1975	4	-
"Abilene, TX"	10180	1976	1	-
"Abilene, TX"	10180	1976	2	-
"Abilene, TX"	10180	1976	3	-
"Abilene, TX"	10180	1976	4	-
"Abilene, TX"	10180	1977	1	-
"Abilene, TX"	10180	1977	2	-
"Abilene, TX"	10180	1977	3	-
"Abilene, TX"	10180	1977	4	-
"Abilene, TX"	10180	1978	1	-
"Abilene, TX"	10180	1978	2	-
"Abilene, TX"	10180	1978	3	-
"Abilene, TX"	10180	1978	4	-
"Abilene, TX"	10180	1979	1	-
"Abilene, TX"	10180	1979	2	-
"Abilene, TX"	10180	1979	3	-
"Abilene, TX"	10180	1979	4	-
"Abilene, TX"	10180	1980	1	-
"Abilene, TX"	10180	1980	2	-
"Abilene, TX"	10180	1980	3	-
"Abilene, TX"	10180	1980	4	-
"Abilene, TX"	10180	1981	1	-
"Abilene, TX"	10180	1981	2	-
"Abilene, TX"	10180	1981	3	-
"Abilene, TX"	10180	1981	4	-
"Abilene, TX"	10180	1982	1	-
"Abilene, TX"	10180	1982	2	-
"Abilene, TX"	10180	1982	3	-
"Abilene, TX"	10180	1982	4	-
"Abilene, TX"	10180	1983	1	-
"Abilene, TX"	10180	1983	2	-
"Abilene, TX"	10180	1983	3	-
"Abilene, TX"	10180	1983	4	-
"Abilene, TX"	10180	1984	1	-
"Abilene, TX"	10180	1984	2	-
"Abilene, TX"	10180	1984	3	-
"Abilene, TX"	10180	1984	4	-
"Abilene, TX"	10180	1985	1	-
"Abilene, TX"	10180	1985	2	-
"Abilene, TX"	10180	1985	3	-
"Abilene, TX"	10180	1985	4	-
"Abilene, TX"	10180	1986	1	-
"Abilene, TX"	10180	1986	2	-
"Abilene, TX"	10180	1986	3	107.92
"Abilene, TX"	10180	1986	4	96.13
"Abilene, TX"	10180	1987	1	100.42
"Abilene, TX"	10180	1987	2	99.08
"Abilene, TX"	10180	1987	3	95.74
"Abilene, TX"	10180	1987	4	89.91
"Abilene, TX"	10180	1988	1	85.79
"Abilene, TX"	10180	1988	2	87.27
"Abilene, TX"	10180	1988	3	82.07
"Abilene, TX"	10180	1988	4	84.83
"Abilene, TX"	10180	1989	1	83.59
"Abilene, TX"	10180	1989	2	81.69
"Abilene, TX"	10180	1989	3	83.25
"Abilene, TX"	10180	1989	4	75.36
"Abilene, TX"	10180	1990	1	80.34
"Abilene, TX"	10180	1990	2	79.41
"Abilene, TX"	10180	1990	3	77.86
"Abilene, TX"	10180	1990	4	81.1
"Abilene, TX"	10180	1991	1	82.44
"Abilene, TX"	10180	1991	2	86.65
"Abilene, TX"	10180	1991	3	89.41
"Abilene, TX"	10180	1991	4	82.24
"Abilene, TX"	10180	1992	1	90.73
"Abilene, TX"	10180	1992	2	89.47
"Abilene, TX"	10180	1992	3	91.43
"Abilene, TX"	10180	1992	4	91.09
"Abilene, TX"	10180	1993	1	93.97
"Abilene, TX"	10180	1993	2	96.05
"Abilene, TX"	10180	1993	3	95.16
"Abilene, TX"	10180	1993	4	98.76
"Abilene, TX"	10180	1994	1	97.63
