year	index	growth
1926	17.9	
1927	17.5	1.022857143
1928	17.3	1.011560694
1929	17.1	1.011695906
1930	17.1	1
1931	15.9	1.075471698
1932	14.3	1.111888112
1933	12.9	1.108527132
1934	13.2	0.977272727
1935	13.6	0.970588235
1936	13.8	0.985507246
1937	14.1	0.978723404
1938	14.2	0.992957746
1939	14	1.014285714
1940	13.9	1.007194245
1941	14.1	0.985815603
1942	15.7	0.898089172
1943	16.9	0.928994083
1944	17.4	0.971264368
1945	17.8	0.97752809
1946	18.2	0.978021978
1947	21.5	0.846511628
1948	23.7	0.907172996
1949	24	0.9875
1950	23.5	1.021276596
1951	25.4	0.92519685
1952	26.5	0.958490566
1953	26.6	0.996240602
1954	26.9	0.988847584
1955	26.7	1.007490637
1956	26.8	0.996268657
1957	27.6	0.971014493
1958	28.6	0.965034965
1959	29	0.986206897
1960	29.3	0.989761092
1961	29.8	0.983221477
1962	30	0.993333333
1963	30.4	0.986842105
1964	30.9	0.98381877
1965	31.2	0.990384615
1966	31.8	0.981132075
1967	32.9	0.96656535
1968	34.1	0.964809384
1969	35.6	0.957865169
1970	37.8	0.941798942
1971	39.8	0.949748744
1972	41.1	0.96836983
1973	42.6	0.964788732
1974	46.6	0.91416309
1975	52.1	0.894433781
