V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149	V150	V151	V152	V153	V154	V155	V156	V157	V158	V159	V160	V161	V162	V163	V164	V165	V166	V167	V168	V169	V170	V171	V172	V173	V174	V175	V176	V177	V178	V179	V180	V181	V182	V183	V184	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200	V201	V202	V203	V204	V205	V206	V207	V208	V209	V210	V211	V212
S	936	1		CONNECTICUT			335010	319790	356170	404870	438550	494690	518090	579780	606300	627780	593760	529840	438120	416860	464454	511306	552181	2164	0	0	1390	0	0	0	0	0	44715	19271	49529	9874	0	0	1038	0	146	146	150	149	154	156	161	164	168	172	161	144	131	125	124	123	122	1	0	0	1	0	0	0	0	0	7	10	6	5	0	0	1	0	165142	158729	176791	191918	203708	229116	220333	257564	266762	249836	244815	228882	214525	211587	235511	259332	278685	0	0	0	1390	0	0	0	0	0	0	0	3986	0	0	0	0	0	169648	160883	179156	212893	234714	265414	296055	320453	337024	371932	347359	300702	223403	204978	228607	251243	272598	2164	0	0	0	0	0	0	0	0	13587	18922	45543	9874	0	0	1038	0	65	64	63	62	62	62	64	65	64	62	61	61	58	54	54	54	54	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	75	76	81	82	86	88	91	92	95	100	93	79	70	67	67	66	65	1	0	0	0	0	0	0	0	0	4	8	5	5	0	0	1	0	0
C	936	1		FAIRFIELD	9997	1	79720	74570	82800	93700	104030	119620	126920	142250	149500	153260	146340	137000	112300	102320	110340	124000	139450	2164	0	0	0	0	0	0	0	0	29540	0	0	7694	0	0	0	0	33	32	32	31	31	32	34	35	36	36	35	33	33	29	29	29	29	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	37478	35604	40018	42146	45967	51994	55332	61021	63478	49399	46990	44695	39645	39854	43689	48505	53346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42205	38934	42779	51545	58032	67622	71600	81182	86007	103852	99337	92300	72620	62447	66637	75135	85714	2164	0	0	0	0	0	0	0	0	2954	0	0	7694	0	0	0	0	12	12	12	11	11	11	12	13	13	12	12	12	12	11	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	18	18	18	18	19	20	20	21	22	21	19	19	16	17	17	17	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	10
C	936	1		HARTFORD	9997	1	123220	117310	130180	144250	150040	175270	180870	206880	212580	231920	208290	194350	165070	161650	192414	213580	222460	0	0	0	0	0	0	0	0	0	13761	1201	27073	1187	0	0	0	0	34	33	35	33	34	35	37	38	38	40	35	34	28	28	28	28	28	0	0	0	0	0	0	0	0	0	4	1	3	1	0	0	0	0	46075	42304	47964	49436	48341	56675	39647	59132	60816	64363	62152	59501	61887	64840	79430	89956	91887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77117	75010	82194	94810	101635	118511	140309	146820	150785	162852	145925	134654	103050	96541	112678	123228	130118	0	0	0	0	0	0	0	0	0	9219	1201	27073	1187	0	0	0	0	7	6	6	6	6	7	8	8	8	7	7	7	6	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	28	26	26	26	27	27	27	30	27	25	21	20	20	20	20	0	0	0	0	0	0	0	0	0	2	1	3	1	0	0	0	0	30
C	936	1		LITCHFIELD	9997	1	11470	10660	11440	12450	13260	14620	15200	17990	17830	19250	18700	17250	15080	15070	17060	17570	20170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	14	14	14	13	13	13	14	15	14	14	14	14	14	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7104	6719	7274	7640	8285	9473	9371	11063	10792	11379	13138	11910	10537	10348	11798	11844	14123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4364	3944	4172	4812	4974	5151	5805	6929	7037	7866	5569	5328	4529	4715	5249	5736	6054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	6	5	5	5	6	6	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
C	936	1		MIDDLESEX	9997	1	9150	8590	9550	10320	11380	12730	12250	13470	13840	12980	12510	11960	10640	9230	9650	10436	10271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038	0	11	11	11	11	11	11	11	11	11	11	11	11	11	10	10	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7613	6952	7786	8435	9296	10107	9366	10385	10483	9591	9153	8691	7826	6644	7026	7774	8392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1544	1626	1752	1894	2082	2604	2864	3094	3335	3376	3353	3260	2812	2578	2624	2673	1867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038	0	8	8	8	8	8	7	7	7	7	7	7	7	7	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70
C	936	1		NEW HAVEN	9997	1	93530	91310	100770	117810	132750	142750	149530	161800	171480	171660	169670	136180	106560	101870	106970	117380	130450	0	0	0	0	0	0	0	0	0	1414	15240	21882	0	0	0	0	0	34	34	34	36	39	40	41	42	45	47	44	31	26	26	26	26	26	0	0	0	0	0	0	0	0	0	2	8	2	0	0	0	0	0	52358	53285	57280	64604	72059	78820	82068	88686	91240	91485	91002	82124	73963	70989	73472	81232	90345	0	0	0	0	0	0	0	0	0	0	0	3986	0	0	0	0	0	41027	37883	43313	53163	60680	63895	66750	72309	78737	78914	77310	53998	32603	30889	33496	36137	40077	0	0	0	0	0	0	0	0	0	1414	14891	17896	0	0	0	0	0	15	15	14	14	14	14	14	14	14	14	14	14	12	12	12	12	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	17	18	21	24	25	25	26	27	28	26	17	14	14	14	14	14	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	90
C	936	1		NEW LONDON	9997	1	9760	9060	11830	14560	14900	16110	17890	20570	23360	20170	19850	17890	15230	14430	15460	15010	15940	0	0	0	0	0	0	0	0	0	0	0	574	993	0	0	0	0	9	11	13	13	13	13	13	13	12	11	11	11	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8247	7468	9055	10776	10936	12324	13726	15672	18111	11733	10783	10565	9935	9756	10357	9733	10291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1505	1598	2768	3783	3962	3779	4144	4906	5260	8424	9067	7332	5287	4659	5101	5282	5638	0	0	0	0	0	0	0	0	0	0	0	574	993	0	0	0	0	8	8	8	8	8	8	8	8	7	6	6	6	6	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	110
C	936	1		TOLLAND	9997	1	1460	1440	1530	1610	1690	1860	1850	1930	1780	1700	1740	1990	1790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1457	1438	1526	1606	1684	1860	1840	1931	1772	1694	1735	1993	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130
C	936	1		WINDHAM	9997	1	6700	6850	8070	10170	10500	11730	13580	14890	15930	16840	16660	13220	11450	12290	12560	13330	13440	0	0	0	1390	0	0	0	0	0	0	2830	0	0	0	0	0	0	8	8	8	8	9	9	9	9	9	9	9	8	7	8	7	6	6	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4810	4959	5888	7275	7140	7863	8983	9674	10070	10192	9862	9403	8945	9156	9739	10288	10301	0	0	0	1390	0	0	0	0	0	0	0	0	0	0	0	0	0	1886	1888	2178	2886	3349	3852	4583	5213	5863	6648	6798	3830	2502	3149	2822	3052	3130	0	0	0	0	0	0	0	0	0	0	2830	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	4	4	5	5	5	5	5	4	3	4	3	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	150
C	936	2		ANDROSCOGGIN	9997	1	22380	19140	21190	23550	24230	25270	26430	28000	28740	29640	29800	29600	27650	24390	25000	25650	26870	0	0	0	0	0	0	0	0	0	0	0	0	3634	0	0	0	0	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12166	9120	9947	11944	12031	13230	13895	15006	15783	16871	17261	17161	16250	14326	14755	15114	15585	0	0	0	0	0	0	0	0	0	0	0	0	3634	0	0	0	0	10206	10026	11240	11606	12202	12045	12532	12991	12952	12766	12533	12438	11407	10051	10253	10549	11284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
