AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	AREA_1	PERIMETE_1	COUNTY_1	STATE_1	ID_1	CNTY_ARE_1	new_area
1867.219	195.728	CAMERON	Texas	48061	1401.0	2054.521	217.455	HIDALGO	Texas	48215	2276.0	1.73966701000
1867.219	195.728	CAMERON	Texas	48061	1401.0	3418.604	294.582	CAMERON	Texas	48061	2434.0	1865.48050853000
1569.228	161.509	HIDALGO	Texas	48215	1629.0	3418.604	294.582	CAMERON	Texas	48061	2434.0	34.25738010000
913.737	183.636	MONROE	Florida	12087	1100.0	913.749	183.635	MONROE	Florida	12087	1100.0	913.72121324500
1569.228	161.509	HIDALGO	Texas	48215	1629.0	2054.521	217.455	HIDALGO	Texas	48215	2276.0	1534.97056860000
1427.341	152.299	STARR	Texas	48427	1348.0	2777.343	222.371	STARR	Texas	48427	2675.0	1427.34131941000
2200.873	218.729	DADE	Florida	12025	2019.0	3384.226	264.585	DADE	Florida	12025	2733.0	2200.86657073000
976.448	125.773	BROOKS	Texas	48047	974.0	3418.604	294.582	CAMERON	Texas	48061	2434.0	0.12473017000
831.199	173.127	KLEBERG	Texas	48273	698.0	2054.521	217.455	HIDALGO	Texas	48215	2276.0	0.88469395500
831.199	173.127	KLEBERG	Texas	48273	698.0	3418.604	294.582	CAMERON	Texas	48061	2434.0	3.60051928000
1515.144	167.706	WILLACY	Texas	48489	1274.0	3418.604	294.582	CAMERON	Texas	48061	2434.0	1515.14378193000
976.448	125.773	BROOKS	Texas	48047	974.0	2054.521	217.455	HIDALGO	Texas	48215	2276.0	516.90577408500
914.804	160.941	JIM WELLS	Texas	48249	791.0	2054.521	217.455	HIDALGO	Texas	48215	2276.0	0.01736345000
914.804	160.941	JIM WELLS	Texas	48249	791.0	2777.343	222.371	STARR	Texas	48427	2675.0	0.02676788500
976.448	125.773	BROOKS	Texas	48047	974.0	2777.343	222.371	STARR	Texas	48427	2675.0	459.41637871500
1934.197	191.470	DUVAL	Texas	48131	1703.0	2777.343	222.371	STARR	Texas	48427	2675.0	2.20406400000
1137.986	138.163	ZAPATA	Texas	48505	1040.0	1450.932	162.115	ZAPATA	Texas	48505	1288.0	1127.58745812000
1375.356	154.699	JIM HOGG	Texas	48247	1140.0	1450.932	162.115	ZAPATA	Texas	48505	1288.0	323.34285834000
1375.356	154.699	JIM HOGG	Texas	48247	1140.0	2777.343	222.371	STARR	Texas	48427	2675.0	888.35712251000
1137.986	138.163	ZAPATA	Texas	48505	1040.0	3891.359	287.592	WEBB	Texas	48479	3219.0	10.39758881000
1375.356	154.699	JIM HOGG	Texas	48247	1140.0	3891.359	287.592	WEBB	Texas	48479	3219.0	7.29872724500
1660.915	167.869	BROWARD	Florida	12011	1212.0	3384.226	264.585	DADE	Florida	12025	2733.0	1183.33540909000
1375.356	154.699	JIM HOGG	Texas	48247	1140.0	2088.351	186.684	DUVAL	Texas	48131	1825.0	156.35819764000
