ICPSRFIP	X_CENTROID	Y_CENTROID
0.00000	-1222274.68009214	-394300.35158804
0.00000	-426744.98231426	875081.07439448
0.00000	-490899.40604817	671097.84706659
1001.00000	872691.28942201	-512378.54266022
1003.00000	789602.64868672	-721429.38989009
1005.00000	997016.56820061	-573841.64158077
1007.00000	822791.77837242	-465346.20660800
1009.00000	863689.44590646	-351053.65579664
1011.00000	964032.50695581	-551593.37995682
1013.00000	877744.22336986	-599517.85918599
1015.00000	933827.82986797	-367322.12137987
1017.00000	984174.22441180	-458068.58665146
1019.00000	949221.75556110	-320188.18077107
1021.00000	862215.53817493	-478337.32723030
1023.00000	726596.15170112	-583254.90948310
1025.00000	770409.79295092	-617915.59325482
1027.00000	936645.66039823	-423446.19487638
1029.00000	963118.41710628	-375029.99469868
1031.00000	946788.41780839	-631616.86342921
1033.00000	743766.61964355	-281395.30830607
1035.00000	851724.00691740	-638172.17995160
1037.00000	904831.06007772	-464140.73618523
1039.00000	904877.11507949	-653194.36530238
1041.00000	912408.62410585	-598394.49818455
1043.00000	834665.11374865	-336930.63147342
1045.00000	981960.28080077	-624557.09776055
1047.00000	831748.91120708	-539754.04756151
1049.00000	927568.29492190	-290622.26240693
1051.00000	917857.73678422	-500881.05226485
1053.00000	839024.50212881	-673216.53742195
1055.00000	911544.23039157	-338914.88802909
1057.00000	759248.96122126	-389946.07661141
1059.00000	742722.35317008	-310535.93497612
1061.00000	964497.25094719	-664123.54527917
1063.00000	747886.64648964	-488212.96893295
1065.00000	778715.82252161	-495673.85831946
1067.00000	1015711.02961271	-611508.00842095
1069.00000	1014490.96339122	-652120.27928959
1071.00000	906148.33505928	-256942.16933676
1073.00000	838240.70113034	-401487.78711496
1075.00000	725880.21329138	-386305.53795885
1077.00000	755421.59469424	-257785.35191615
1079.00000	790285.99403680	-297319.06716862
1081.00000	991970.06585549	-491806.53256557
1083.00000	817141.12171922	-262438.27060031
1085.00000	876177.82323795	-554629.87220359
1087.00000	962774.25419893	-519717.65686438
1089.00000	856595.02937357	-263877.87363759
1091.00000	768786.29840976	-554190.14592063
1093.00000	741704.77620091	-344871.91575202
1095.00000	883106.58599915	-305719.02559046
1097.00000	743060.77224958	-719256.23189882
1099.00000	815196.06635119	-625762.93985572
1101.00000	916755.30016701	-543200.76622338
1103.00000	832569.49619521	-301014.01172344
1105.00000	811043.04785771	-506658.53737810
1107.00000	731252.86550562	-441698.45540251
1109.00000	946547.27172105	-586879.67096444
1111.00000	973290.63089266	-416682.47511837
1113.00000	1010321.79390178	-525077.63942077
1115.00000	889860.21967493	-378113.46883576
1117.00000	862813.85286193	-431711.23177979
1119.00000	727429.59796022	-519276.68768715
1121.00000	907239.79901910	-414101.48970902
1123.00000	947322.22136104	-467968.29985013
1125.00000	783057.42855581	-436277.66223866
1127.00000	798886.12031170	-377183.76288156
1129.00000	737379.49643475	-650740.30714518
1131.00000	816378.03016636	-578832.74318277
1133.00000	788382.81692346	-339323.56843737
