icpsrfip	id	erosion_area
50011.00000	0	1742426183.35000000000
50011.00000	1	49839909.73440000000
48057.00000	0	108124913.07600000000
48057.00000	0	907041929.71200000000
36061.00000	0	153338257.81900000000
17157.00000	2	71589765.95490000000
17157.00000	1	296807575.35400000000
17157.00000	0	406584818.20100000000
17157.00000	2	546393872.82000000000
17157.00000	1	225517660.26400000000
48317.00000	1	158966838.00100000000
48317.00000	1	2212516889.98000000000
47015.00000	2	688183375.42500000000
29223.00000	2	19925191.69670000000
29223.00000	1	167087829.79100000000
29223.00000	1	468540725.05900000000
29223.00000	0	234614982.26800000000
29223.00000	0	1114718639.53000000000
29147.00000	0	25164043.19800000000
29147.00000	2	133381152.72000000000
29147.00000	2	2114818903.05000000000
39125.00000	0	1084936206.81000000000
27093.00000	1	885186202.56700000000
27093.00000	0	535156577.45900000000
27093.00000	0	250393649.38300000000
35037.00000	0	1340456127.33000000000
35037.00000	0	1218473644.73000000000
35037.00000	1	4904967498.30000000000
9015.00000	0	1350582176.36000000000
47149.00000	2	1616004919.16000000000
16031.00000	2	445772345.19400000000
16031.00000	1	4822442191.47000000000
16031.00000	2	1491443811.29000000000
16031.00000	1	173939.37132900000
51760.00000	0	27375259.36030000000
48439.00000	2	13417458.53170000000
48439.00000	1	2311094185.25000000000
20025.00000	2	1639013789.91000000000
20025.00000	1	890915402.49500000000
13085.00000	1	233709325.00300000000
13085.00000	2	142008219.97000000000
13085.00000	0	178273172.39700000000
55111.00000	1	2053838944.05000000000
55111.00000	0	143548689.71700000000
22061.00000	1	1223190512.30000000000
37041.00000	0	379741040.91300000000
24025.00000	1	1053813394.87000000000
5045.00000	2	912872782.64100000000
5045.00000	0	605969734.97500000000
5045.00000	1	200953721.36900000000
26011.00000	0	945524917.25900000000
48219.00000	0	1590070243.46000000000
48219.00000	2	635276442.56700000000
48219.00000	1	127803973.47300000000
8115.00000	0	101345377.92800000000
8115.00000	0	1134377692.10000000000
8115.00000	1	187719824.30100000000
5031.00000	2	409533359.04100000000
5031.00000	0	879028322.96100000000
5031.00000	0	558053682.00300000000
27117.00000	1	375846553.66400000000
27117.00000	0	5181.24477418000
27117.00000	0	831443349.69900000000
28073.00000	1	1296277863.07000000000
27055.00000	1	1473443376.92000000000
39119.00000	1	117118152.24700000000
39119.00000	1	12467639.91910000000
39119.00000	2	1612415201.77000000000
5051.00000	0	1205026121.35000000000
5051.00000	1	95585786.42140000000
5051.00000	1	601943591.76700000000
47079.00000	1	375337424.29100000000
47079.00000	2	1161635502.79000000000
33017.00000	0	985294353.57300000000
20005.00000	1	418761473.47600000000
20005.00000	2	688862796.76900000000
1005.00000	1	2342716424.56000000000
27083.00000	1	84615920.40530000000
27083.00000	0	335975525.40800000000
27083.00000	0	1447957918.62000000000
13033.00000	0	239223724.42800000000
13033.00000	0	79817659.45420000000
13033.00000	1	1843507029.53000000000
33019.00000	0	1429439684.36000000000
29137.00000	2	1447339229.19000000000
29137.00000	1	288535399.95500000000
29043.00000	1	1460887705.46000000000
48349.00000	0	292922663.47000000000
48349.00000	1	2520291809.21000000000
45069.00000	0	511504596.75800000000
45069.00000	2	543949.54525500000
45069.00000	1	744769742.32900000000
41051.00000	0	46076529.15780000000
41051.00000	0	407308203.50500000000
41051.00000	1	450217862.20400000000
41051.00000	2	302301191.97100000000
1129.00000	0	1636548952.46000000000
1129.00000	1	1182715071.25000000000
40025.00000	1	1511285387.65000000000
40025.00000	2	1337739995.72000000000
40025.00000	0	1539670510.18000000000
40025.00000	0	136812913.41200000000
40025.00000	2	147682335.25500000000
40025.00000	1	94127817.26190000000
54033.00000	1	1077668644.88000000000
54033.00000	2	1314840.27974000000
28067.00000	1	1812317184.30000000000
40069.00000	2	107302865.80000000000
40069.00000	0	48664924.06020000000
40069.00000	2	358926072.16800000000
40069.00000	1	211007994.90500000000
40069.00000	1	978697446.07700000000
29213.00000	1	1687320419.24000000000
51119.00000	0	329141440.33600000000
48171.00000	1	2749279525.29000000000
18045.00000	2	142267137.32200000000
18045.00000	1	888332914.95700000000
22029.00000	0	1751950265.71000000000
22029.00000	2	7066037.10337000000
22029.00000	0	171184931.75700000000
22029.00000	2	1189825.67261000000
48477.00000	1	1549985569.28000000000
48477.00000	0	59324781.06790000000
12101.00000	0	1875426057.09000000000
19137.00000	0	268153.83346000000
19137.00000	1	1099987222.31000000000
48441.00000	0	72960007.79870000000
48441.00000	1	2307922612.48000000000
19173.00000	1	112103124.15000000000
19173.00000	2	1270230526.32000000000
28055.00000	0	202721050.11000000000
28055.00000	0	939637595.02500000000
