STATE	NDMTCODE	NAME	COUNTY	STATEABL	DUSTBOWA	PCPUBWOR	PCAAA	PCRELIEF	PCNDLOAN	PCNDINS	POP30T
1	10	FAIRFIELD	10	CT	0	3.961674623	0.031581942	10.80384292	10.87333744	6.271141603	386.702
1	30	HARTFORD	30	CT	0	3.775434955	1.258391772	9.783005657	6.597842936	4.218112216	421.097
1	50	LITCHFIELD	50	CT	0	4.531433209	0.389364795	7.19062818	3.395955876	2.823964339	82.556
1	70	MIDDLESEX	70	CT	0	9.987085182	0.236238032	10.01687489	3.035118445	2.303763525	51.388
1	90	NEW HAVEN	90	CT	0	3.251744349	0.036164497	10.2687642	7.539405918	3.308874979	463.449
1	110	NEW LONDON	110	CT	0	19.1623447	0.0707698	11.03236079	4.333119267	1.860112973	118.966
1	130	TOLLAND	130	CT	0	11.97550508	1.731818975	6.46360073	5.337343708	2.503792875	28.659
1	150	WINDHAM	150	CT	0	4.538469598	0.097374552	8.774427147	3.653581333	1.415967163	54.086
2	10	ANDROSCOGGIN	10	ME	0	4.113350839	0.07524644	5.923191601	7.184707127	1.658710366	71.214
2	30	AROOSTOOK	30	ME	0	3.750653628	1.651762804	9.392414118	24.41671315	1.527652744	87.843
2	50	CUMBERLAND	50	ME	0	5.296812606	0.047755208	9.107137287	32.27087526	2.37213413	134.645
2	70	FRANKLIN	70	ME	0	4.929943333	0.214272103	5.473095632	1.318536349	0.446306604	19.941
2	90	HANCOCK	90	ME	0	7.809468008	0.052921454	7.567646452	3.896934779	1.862530517	30.721
2	110	KENNEBEC	110	ME	0	6.577291782	0.112311327	7.081816167	21.14428711	1.427378308	70.691
2	130	KNOX	130	ME	0	3.636153541	0.060015166	10.5168755	12.18095548	0.563037591	27.693
2	150	LINCOLN	150	ME	0	5.301329204	0.097031875	6.333247301	2.24699101	1.245076784	15.498
2	170	OXFORD	170	ME	0	4.979115943	0.148938119	6.403647277	4.502409822	1.181963696	41.483
2	190	PENOBSCOT	190	ME	0	3.708936374	0.219662477	6.107279071	18.04576942	1.61121034	92.379
2	210	PISCATAQUIS	210	ME	0	4.301528532	0.408809171	5.880478306	2.936653685	0.598837146	18.231
2	230	SAGADAHOC	230	ME	0	82.11257163	0.082885331	4.231513755	1.056150923	3.56691676	16.927
2	250	SOMERSET	250	ME	0	3.341063469	0.296371865	6.134876804	5.044906378	0.621497788	39.111
2	270	WALDO	270	ME	0	4.115416215	0.342265602	5.20798416	3.176837885	1.116750468	20.286
2	290	WASHINGTON	290	ME	0	4.88596468	0.086712843	37.65610074	1.799908352	0.557399672	37.826
2	310	YORK	310	ME	0	26.57375847	0.071829325	6.156977541	5.149510516	2.097751392	72.934
3	10	BARNSTABLE	10	MA	0	39.70580406	0.051112831	49.01735026	4.88515916	3.740003095	32.305
3	30	BERKSHIRE	30	MA	0	3.276877934	0.100805302	13.07530655	4.536367854	1.610990886	120.7
3	50	BRISTOL	50	MA	0	1.154737285	0.026583834	17.08293745	4.705729358	1.430509339	364.59
3	70	DUKES	70	MA	0	4.75042062	0.001978599	15.5837203	2.140843933	1.621683828	4.953
3	90	ESSEX	90	MA	0	3.119395363	0.022491366	17.64282621	3.870031323	1.578833025	498.04
3	110	FRANKLIN	110	MA	0	13.2915726	1.827787632	11.8153135	3.799943562	1.390599049	49.612
3	130	HAMPDEN	130	MA	0	4.051302152	0.116030594	16.72288045	5.598972268	2.968892029	335.496
3	150	HAMPSHIRE	150	MA	0	6.167651085	1.74606118	14.65032303	3.234565459	1.727819673	72.801
3	170	MIDDLESEX	170	MA	0	2.791996818	0.11274157	15.43160032	9.923400262	3.225183865	934.924
3	210	NORFOLK	210	MA	0	9.04072236	0.021986067	12.85944496	7.109566971	5.080919493	299.426
3	230	PLYMOUTH	230	MA	0	2.089777238	0.048975116	19.13099954	7.25514845	2.221212364	162.311
3	250	SUFFOLK	250	MA	0	4.901388535	0.005901521	24.12032538	11.44984947	1.580622737	879.536
3	270	WORCESTER	270	MA	0	2.613560119	0.047094915	13.72703169	5.40870881	1.495456415	491.242
4	10	BELKNAP	10	NH	0	4.018705153	0.180170623	12.22694455	1.967731954	2.311382222	22.623
4	30	CARROLL	30	NH	0	8.146587752	0.194564684	6.428544746	4.722205879	3.697037193	14.277
4	50	CHESHIRE	50	NH	0	5.277774479	0.259029242	4.817020434	3.409604671	1.968834793	33.685
4	70	COOS	70	NH	0	3.63874415	0.216750943	7.427081462	5.425464377	1.389460715	38.959
4	90	GRAFTON	90	NH	0	6.726854447	0.25105568	4.219917788	4.93595852	2.51103793	42.816
4	110	HILLSBOROUGH	110	NH	0	2.843433335	0.070205829	15.90329968	3.272917871	3.055551671	140.165
4	130	MERRIMACK	130	NH	0	6.646987938	0.160325545	9.180403191	1.618407181	2.894237071	56.152
4	150	ROCKINGHAM	150	NH	0	4.581255814	0.18824186	5.269773643	2.883162791	2.871222326	53.75
4	170	STRAFFORD	170	NH	0	7.159054778	0.091425609	6.949403836	1.258707448	1.685738725	38.58
4	190	SULLIVAN	190	NH	0	4.287758379	0.222720909	6.407292267	2.230261605	5.457275797	24.286
5	10	BRISTOL	10	RI	0	6.14723584	0.018541991	9.593075319	4.603132847	2.773629878	25.089
5	30	KENT	30	RI	0	10.32931504	0.017999611	8.722630862	7.266119219	6.496571317	51.39
5	50	NEWPORT	50	RI	0	34.64266743	0.046443314	11.87447602	5.311359636	5.0968753	41.668
5	70	PROVIDENCE	70	RI	0	4.227112715	0.006383885	10.54277744	7.027907321	3.844306835	540.016
5	90	WASHINGTON	90	RI	0	16.89176951	0.065828049	8.178319811	2.730692484	2.765739415	29.334
6	10	ADDISON	10	VT	0	4.360386958	1.248150624	5.524695484	6.667045455	1.92662656	17.952
6	30	BENNINGTON	30	VT	0	5.645093512	0.28622489	8.443207881	9.224856461	2.822913877	21.655
6	50	CALEDONIA	50	VT	0	5.379872552	0.426984185	5.574095818	21.19054294	1.595846329	27.253
6	70	CHITTENDEN	70	VT	0	4.640840373	0.318261676	9.556834699	16.87628236	6.738674138	47.471
6	90	ESSEX	90	VT	0	4.997971794	0.50309891	3.938234046	3.277147304	0.571416443	7.067
6	110	FRANKLIN	110	VT	0	5.313972755	0.700590492	7.299949958	10.92704365	4.058368641	29.975
6	130	GRAND ISLE	130	VT	0	32.21834855	0.900709939	1.703938472	2.669269777	1.288438134	3.944
6	150	LAMOILLE	150	VT	0	4.450047197	0.735123778	4.011586127	11.43315977	1.008075272	10.947
6	170	ORANGE	170	VT	0	4.842947566	0.559746017	3.733936344	4.804576495	0.488606685	16.694
6	190	ORLEANS	190	VT	0	3.70164091	0.733773225	5.839779765	11.19912022	0.991795451	23.036
6	210	RUTLAND	210	VT	0	3.167392456	0.42133614	11.13093788	8.243920225	3.097376839	48.453
6	230	WASHINGTON	230	VT	0	4.029445123	0.280535787	8.54613056	11.57654933	2.825538543	41.733
6	250	WINDHAM	250	VT	0	6.599192773	0.537774361	6.83311551	25.78046512	1.545346915	26.015
6	270	WINDSOR	270	VT	0	7.870469852	0.212737866	5.749839641	13.99750196	2.036476374	37.416
11	10	KENT	10	DE	0	14.06842855	2.718727427	4.623289679	5.269553929	2.432781634	31.841
11	30	NEW CASTLE	30	DE	0	8.353434928	0.558271648	12.10147155	4.157036283	7.34908217	161.032
11	50	SUSSEX	50	DE	0	7.812424462	2.004355374	3.743808645	5.337332718	1.182270859	45.507
12	10	ATLANTIC	10	NJ	0	3.490750903	0.0864408	28.98798966	25.34711178	3.853823414	124.823
12	30	BERGEN	30	NJ	0	2.664555575	0.017497541	11.0322445	14.31552965	20.47946035	364.977
12	50	BURLINGTON	50	NJ	0	6.074373804	0.432819833	14.29133214	4.322878738	3.430880576	93.541
12	70	CAMDEN	70	NJ	0	27.97775572	0.04657012	21.98161271	11.1222719	6.047121817	252.312
12	90	CAPE MAY	90	NJ	0	8.132650523	0.146835786	16.43697574	23.67554772	7.159011056	29.486
12	110	CUMBERLAND	110	NJ	0	1.181517514	0.368481293	11.29506879	4.3568095	2.288326776	69.895
12	130	ESSEX	130	NJ	0	0.679557687	0.001349469	15.85836394	17.66904191	8.173526508	833.513
12	150	GLOUCESTER	150	NJ	0	2.674486596	0.906748397	15.61280519	4.426087775	4.807691873	70.802
12	170	HUDSON	170	NJ	0	5.067431799	0.046528166	16.46554153	18.58316139	2.457158658	690.73
12	190	HUNTERDON	190	NJ	0	7.148688858	0.662047915	7.167832873	5.510420026	1.686875144	34.728
12	210	MERCER	210	NJ	0	4.647605485	0.096829697	16.39934524	15.10832465	3.72173151	187.143
12	230	MIDDLESEX	230	NJ	0	8.535905024	0.048076416	23.55328498	14.86024906	5.242566727	212.208
12	250	MONMOUTH	250	NJ	0	6.26212958	0.224459102	11.19938772	13.30838196	9.637402604	147.209
12	270	MORRIS	270	NJ	0	11.05680656	0.090519263	12.47548554	6.35599499	10.9030685	110.445
12	290	OCEAN	290	NJ	0	4.710040622	0.078563005	30.37874344	14.17025412	18.28976988	33.069
12	310	PASSAIC	310	NJ	0	2.47496875	0.016169914	12.30950742	16.3024783	6.858281727	302.129
12	330	SALEM	330	NJ	0	4.17727281	0.506933811	10.69528153	4.280715281	6.167464842	36.834
12	350	SOMERSET	350	NJ	0	6.634498659	0.203783087	6.886957768	7.603983705	7.292264939	65.132
12	370	SUSSEX	370	NJ	0	3.399341238	0.671131872	6.321182178	9.964695173	10.33843335	27.83
12	390	UNION	390	NJ	0	4.296441127	0.000902333	10.81361734	16.22714446	15.621578	305.209
12	410	WARREN	410	NJ	0	2.978405888	0.367278331	11.88270917	4.150630251	1.804979825	49.319
13	10	ALBANY	10	NY 13	0	2.276209034	0.076779286	11.6068759	8.117087593	4.635911735	211.953
13	30	ALLEGANY	30	NY 13	0	10.87999123	0.85929783	5.129945211	3.76045584	1.593988166	38.025
13	70	BROOME	70	NY 13	0	6.848286878	0.139632164	5.60391302	3.384094897	8.090000136	147.022
13	90	CATTARAUGUS	90	NY 13	0	4.612019669	0.559015442	5.415902373	5.736191608	1.515961767	72.398
13	110	CAYUGA	110	NY 13	0	8.235110912	0.728350141	7.005178813	3.919750017	1.556392951	64.751
13	130	CHAUTAUQUA	130	NY 13	0	4.210822651	0.285890065	6.982929639	7.990936577	1.26809113	126.457
13	150	CHEMUNG	150	NY 13	0	4.524058204	0.308026245	8.629197911	2.856777361	2.112453133	74.68
13	170	CHENANGO	170	NY 13	0	7.673676619	1.142426078	7.17464782	3.773535266	1.240300014	34.665
13	190	CLINTON	190	NY 13	0	10.61926232	0.590130015	12.34728797	6.761165492	2.725366804	46.687
13	210	COLUMBIA	210	NY 13	0	6.337129859	0.406708797	6.987012519	11.16866024	1.883331331	41.617
13	230	CORTLAND	230	NY 13	0	9.523889117	0.696376423	6.732662651	5.084642636	1.017875051	31.709
13	250	DELAWARE	250	NY 13	0	13.9120448	0.897475889	5.851998963	3.652879204	3.161266186	41.163
13	270	DUTCHESS	270	NY 13	0	7.85302289	0.220648196	8.186493713	5.86985897	2.41135006	105.462
13	290	ERIE	290	NY 13	0	5.056601365	0.040367362	17.53017085	10.00555678	2.957950861	762.408
13	310	ESSEX	310	NY 13	0	6.398878059	0.295574075	11.41088764	8.283133583	1.653199446	33.959
13	330	FRANKLIN	330	NY 13	0	5.507918618	0.708254913	10.11721816	4.838680498	0.712001576	45.694
13	350	FULTON	350	NY 13	0	5.043710624	0.087671821	6.584983534	9.064770905	1.917684708	46.56
13	370	GENESEE	370	NY 13	0	9.462463644	0.856260682	5.854172289	5.23784894	1.12041468	44.468
13	390	GREENE	390	NY 13	0	10.86287844	0.538902666	6.013484191	10.63082248	1.628526038	25.808
13	410	HAMILTON	410	NY 13	0	31.68601001	0	11.23742258	2.765046237	2.221735811	3.929
13	430	HERKIMER	430	NY 13	0	3.496232124	0.244255226	6.987732921	6.04550615	2.313108146	64.006
13	450	JEFFERSON	450	NY 13	0	5.012783082	0.691741451	10.05423337	7.008141288	1.065240386	83.574
13	490	LEWIS	490	NY 13	0	8.808205741	1.039936879	6.585327192	3.463129611	3.279199898	23.447
13	510	LIVINGSTON	510	NY 13	0	9.087792865	1.333881789	7.028052893	6.338391906	1.183796592	37.56
13	530	MADISON	530	NY 13	0	4.885218229	0.880799196	3.357024378	5.462447851	1.28825333	39.79
13	550	MONROE	550	NY 13	0	2.962984501	0.088167198	14.59220906	9.693683526	4.473806092	423.881
13	570	MONTGOMERY	570	NY 13	0	3.182116541	0.210316932	7.495735957	2.771085514	1.766682203	60.076
13	590	NASSAU	590	NY 13	0	7.112040908	0.011417805	15.37798999	23.83414914	25.11200417	303.053
13	630	NIAGARA	630	NY 13	0	3.932073922	0.183318712	11.34638728	8.170220118	4.000112503	149.329
13	650	ONEIDA	650	NY 13	0	2.735161977	0.209143553	8.910800803	20.44418193	2.38453837	198.763
13	670	ONONDAGA	670	NY 13	0	1.820334058	0.177405129	15.22269889	16.99309022	2.288747145	291.606
13	690	ONTARIO	690	NY 13	0	5.575656521	0.787747808	4.708849215	5.371061488	1.937412484	54.276
13	710	ORANGE	710	NY 13	0	12.43689234	0.232659166	11.59663453	5.150999747	2.596990405	130.383
13	730	ORLEANS	730	NY 13	0	5.758343462	1.292578573	5.538913006	8.931601551	1.169689182	28.795
13	750	OSWEGO	750	NY 13	0	4.615514394	0.388975519	10.86194989	8.848181492	2.236821021	69.645
13	770	OTSEGO	770	NY 13	0	6.026029401	0.684303147	5.504877614	6.06965532	1.484298865	46.71
13	790	PUTNAM	790	NY 13	0	9.493718471	0	5.855233799	7.562388436	12.874156	13.744
13	830	RENSSELAER	830	NY 13	0	4.209006437	0.135188385	7.952122346	5.363345884	3.646848832	119.781
13	870	ROCKLAND	870	NY 13	0	6.786450556	0.021074179	16.1500165	11.05280514	6.900773503	59.599
13	890	ST LAWRENCE	890	NY 13	0	4.069613017	0.596635884	7.539378115	3.586671064	1.539826297	90.96
13	910	SARATOGA	910	NY 13	0	27.29959409	0.29457308	12.10226543	12.93362605	2.504912026	63.314
13	930	SCHENECTADY	930	NY 13	0	2.73240229	0.054664416	13.48526381	7.515191848	3.917487462	125.021
13	950	SCHOHARIE	950	NY 13	0	9.157692243	0.916855647	5.158531211	6.263534516	1.775319062	19.667
13	970	SCHUYLER	970	NY 13	0	9.037841816	1.433883337	11.25216257	3.148397759	1.355147571	12.909
13	990	SENECA	990	NY 13	0	6.229903001	1.331977745	7.51974009	5.726651456	2.017595965	24.983
13	1010	STEUBEN	1010	NY 13	0	6.441994976	0.628389641	10.74520086	5.86971812	1.976366561	82.671
13	1030	SUFFOLK	1030	NY 13	0	9.656684569	0.130646053	11.31807768	11.32914263	6.481260439	161.055
13	1050	SULLIVAN	1050	NY 13	0	10.64275251	0.440763212	3.902354086	8.418976336	3.662593559	35.272
13	1070	TIOGA	1070	NY 13	0	13.92987964	0.868343799	7.556822344	2.507326007	1.847276295	25.48
13	1090	TOMPKINS	1090	NY 13	0	8.279649715	0.431694384	9.324467743	4.89985378	2.238717763	41.49
13	1110	ULSTER	1110	NY 13	0	5.521685069	0.282944295	11.87969767	5.683208783	2.517070676	80.155
13	1130	WARREN	1130	NY 13	0	6.279642418	0.039884122	10.63578061	6.82409239	4.728600691	34.174
13	1150	WASHINGTON	1150	NY 13	0	7.611534214	0.509255196	10.15389111	5.536913214	2.175082828	46.482
13	1170	WAYNE	1170	NY 13	0	7.009744308	0.683248325	5.817018369	10.69768043	1.16160016	49.995
13	1190	WESTCHESTER	1190	NY 13	0	4.840715402	0.014283987	13.73463263	24.56563681	8.757830259	520.947
13	1210	WYOMING	1210	NY 13	0	6.108237148	1.186490057	5.28995156	8.640267928	1.649367265	28.764
13	1230	YATES	1230	NY 13	0	8.606758468	1.654653371	4.741265036	8.118281102	1.296403134	16.848
13	1500	New York City/5 bor.	1500	NY 13	0	4.86419544	0	26.54680656	14.52995337	5.122456737	6930.446
14	10	ADAMS	10	PA	0	3.341678338	1.296606335	5.916774402	2.946979818	0.181889679	37.128
14	30	ALLEGHENY	30	PA	0	3.883288344	0.011265779	23.42460607	11.02619345	4.485657264	1374.41
14	50	ARMSTRONG	50	PA	0	3.705143888	0.183926455	18.17150075	6.030216819	1.12768544	79.298
14	90	BEDFORD	90	PA	0	5.344827432	0.700694202	25.46729565	10.63810877	0.5271007	37.309
14	110	BERKS	110	PA	0	4.107100472	0.243228593	14.6928171	9.018235175	1.851932314	231.717
14	130	BLAIR	130	PA	0	2.056347731	0.082996281	17.51434735	4.943433448	0.902316934	139.84
14	150	BRADFORD	150	PA	0	2.675139515	0.65887151	9.127935589	4.931457276	0.892860784	49.039
14	170	BUCKS	170	PA	0	6.214421344	0.236116079	18.61450095	3.416285698	3.506960828	96.727
14	190	BUTLER	190	PA	0	5.7623861	0.306756958	13.95751532	5.047824718	3.613553678	80.48
14	210	CAMBRIA	210	PA	0	2.601430334	0.09324033	17.78479517	7.839003147	2.066222323	203.146
