nhgisnam	icpsrnam	icpsrfip	id	woodland_area
Calhoun	CALHOUN	48057.00000	1	87796105.53150000000
Calhoun	CALHOUN	48057.00000	1	10997062.36190000000
Calhoun	CALHOUN	48057.00000	1	887158967.16500000000
Calhoun	CALHOUN	48057.00000	1	43691224.19890000000
Calhoun	CALHOUN	48057.00000	2	16448680.63360000000
Calhoun	CALHOUN	48057.00000	2	70182255.83930000000
Martin	MARTIN	48317.00000	2	748329836.88000000000
Martin	MARTIN	48317.00000	3	645631149.69700000000
Martin	MARTIN	48317.00000	4	977522740.96800000000
Nodaway	NODAWAY	29147.00000	1	45906651.46470000000
Nodaway	NODAWAY	29147.00000	1	815596467.96400000000
Nodaway	NODAWAY	29147.00000	2	357835229.80800000000
Nodaway	NODAWAY	29147.00000	2	766118842.07800000000
Nodaway	NODAWAY	29147.00000	1	221238207.18600000000
Nodaway	NODAWAY	29147.00000	2	54806256.33400000000
Nodaway	NODAWAY	29147.00000	2	1650896.42957000000
Meeker	MEEKER	27093.00000	1	39167245.63490000000
Meeker	MEEKER	27093.00000	2	1631569278.75000000000
Quay	QUAY	35037.00000	1	508535734.85700000000
Quay	QUAY	35037.00000	3	29524762.81680000000
Quay	QUAY	35037.00000	3	4744808.74636000000
Quay	QUAY	35037.00000	3	6921091963.13000000000
Cassia	CASSIA	16031.00000	11	21270048.98290000000
Cassia	CASSIA	16031.00000	13	5563165.26756000000
Cassia	CASSIA	16031.00000	10	51557515.70890000000
Tarrant	TARRANT	48439.00000	1	1391000233.03000000000
Tarrant	TARRANT	48439.00000	1	69304547.62330000000
Tarrant	TARRANT	48439.00000	2	863270804.32900000000
Clark	CLARK	20025.00000	1	526668527.86500000000
Clark	CLARK	20025.00000	1	97322413.59690000000
Clark	CLARK	20025.00000	2	363550222.40200000000
Clark	CLARK	20025.00000	3	1536698647.96000000000
Hockley	HOCKLEY	48219.00000	1	107008045.55200000000
Hockley	HOCKLEY	48219.00000	3	2244874370.64000000000
Sedgwick	SEDGWICK	8115.00000	1	7273659.66327000000
Sedgwick	SEDGWICK	8115.00000	3	542675151.78800000000
Sedgwick	SEDGWICK	8115.00000	3	58166486.27080000000
Sedgwick	SEDGWICK	8115.00000	3	90605455.98350000000
Sedgwick	SEDGWICK	8115.00000	3	724529386.19000000000
Pipestone	PIPESTONE	27117.00000	1	1184115604.77000000000
Pipestone	PIPESTONE	27117.00000	2	23179479.84140000000
Houston	HOUSTON	27055.00000	2	1470338561.43000000000
Houston	HOUSTON	27055.00000	2	3104815.48424000000
Atchison	ATCHISON	20005.00000	1	755085320.61900000000
Atchison	ATCHISON	20005.00000	2	234735140.97100000000
Atchison	ATCHISON	20005.00000	2	94003594.29750000000
Atchison	ATCHISON	20005.00000	2	23566887.18150000000
Lyon	LYON	27083.00000	1	1786475810.34000000000
Lyon	LYON	27083.00000	2	68706424.16640000000
