wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"2000","Aug1997","1","","","","","1","","","","","","","1","","","","","","","1","","",""
"2000","Jan1998","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"2000","Feb1998","1","","","1","","","","","","","1","","","","","","","1","","","","",""
"2000","May1998","5","","4","1","","","","","","3","1","","","","","","3","1","","","","",""
"2000","Jun1998","7","2","4","","1","2","","","","3","","1","1","","","","3","","1","1","","",""
"822ext","Apr1991","215","43","120","","","74","13","7","1","23","","","16","2","3","1","15","","","12","2","3","1"
"822ext","May1991","107","23","47","1","","44","8","7","","16","1","","12","4","2","","16","1","","8","4","2",""
"822ext","Jun1991","136","34","70","1","","51","9","4","1","20","1","","11","2","3","1","19","1","","9","2","3","1"
"822ext","Jul1991","87","27","24","","","54","5","4","","7","","","14","3","1","","6","","","10","3","1",""
"822ext","Aug1991","99","10","35","","","54","5","5","","17","","","11","2","3","","16","","","9","2","3",""
"822ext","Sep1991","302","61","136","","","104","29","33","","24","","","11","5","6","","18","","","9","4","4",""
"822ext","Oct1991","387","100","159","","1","141","38","47","1","24","","1","18","4","9","1","20","","1","15","4","8","1"
"822ext","Nov1991","144","27","60","1","","47","16","18","2","11","1","","12","5","8","1","10","1","","11","5","8","1"
"822ext","Dec1991","187","25","87","","","75","18","7","","13","","","15","4","4","","11","","","13","3","3",""
"822ext","Jan1992","102","27","41","","","44","12","5","","9","","","9","4","4","","9","","","9","4","3",""
"822ext","Feb1992","215","68","95","1","2","76","16","24","1","16","1","2","13","5","10","1","16","1","2","12","4","10","1"
"822ext","Mar1992","215","63","69","2","1","100","23","20","","15","2","1","14","6","7","","14","2","1","11","5","7",""
"822ext","Apr1992","84","15","40","","","29","9","5","1","14","","","13","5","3","1","13","","","13","4","3","1"
"822ext","May1992","30","1","13","","","14","3","","","7","","","8","2","","","7","","","8","2","",""
"822ext","Jun1992","59","3","28","","","21","9","1","","14","","","9","3","1","","12","","","8","3","1",""
"822ext","Jul1992","58","","26","","","22","10","","","13","","","8","3","","","12","","","6","3","",""
"822ext","Aug1992","34","10","15","","2","10","1","6","","10","","1","5","1","4","","9","","1","5","1","4",""
"822ext","Sep1992","14","4","6","","2","2","3","","1","3","","1","2","3","","1","3","","1","2","3","","1"
"822ext","Oct1992","18","3","11","","1","3","","3","","7","","1","3","","2","","7","","1","3","","2",""
"822ext","Nov1992","21","8","9","","1","3","4","4","","7","","1","2","2","1","","6","","1","2","2","1",""
"822ext","Dec1992","99","44","26","","9","31","6","27","","12","","2","15","5","8","","11","","2","13","3","7",""
"822ext","Jan1993","203","50","72","1","11","80","13","26","","21","1","1","17","3","9","","17","1","1","14","3","8",""
"822ext","Feb1993","206","67","66","","32","95","4","9","","22","","2","14","3","6","","17","","2","10","3","6",""
"822ext","Mar1993","327","91","118","1","31","153","3","21","","20","1","1","19","2","4","","17","1","1","14","2","4",""
"822ext","Apr1993","123","30","53","","1","40","7","22","","13","","1","11","3","6","","13","","1","10","3","5",""
"822ext","May1993","76","15","27","1","","38","2","8","","11","1","","16","1","3","","10","1","","14","1","3",""
"822ext","Jun1993","104","6","53","","","39","8","4","","18","","","11","4","4","","14","","","10","3","4",""
"822ext","Jul1993","18","10","3","","","12","1","2","","2","","","6","1","2","","2","","","6","1","2",""
"822ext","Aug1993","82","13","40","1","","31","5","5","","13","1","","8","4","2","","12","1","","7","4","2",""
"822ext","Sep1993","142","10","74","1","","49","12","6","","21","1","","11","4","5","","18","1","","10","4","4",""
"822ext","Oct1993","118","13","57","1","","51","1","8","","15","1","","11","1","2","","12","1","","11","1","2",""
"822ext","Nov1993","157","66","60","4","","60","1","32","","25","3","","14","1","6","","22","2","","13","1","5",""
"822ext","Dec1993","52","23","17","1","","30","","4","","8","1","","10","","2","","7","1","","9","","1",""
"822ext","Jan1994","35","12","17","","","17","1","","","9","","","5","1","","","7","","","5","1","",""
"822ext","Feb1994","9","4","5","","","4","","","","4","","","2","","","","4","","","2","","",""
"822ext","Mar1994","20","7","16","","","4","","","","7","","","4","","","","7","","","4","","",""
"822ext","Apr1994","1","1","","","","1","","","","","","","1","","","","","","","1","","",""
"822ext","May1994","56","28","30","1","","17","","8","","10","1","","10","","2","","10","1","","9","","2",""
"822ext","Jun1994","23","2","13","1","","9","","","","4","1","","4","","","","4","1","","4","","",""
"822ext","Jul1994","46","20","17","","","29","","","","9","","","8","","","","8","","","8","","",""
"822ext","Aug1994","53","21","26","","","27","","","","6","","","9","","","","5","","","9","","",""
"822ext","Sep1994","47","12","17","","","29","","1","","9","","","9","","1","","9","","","8","","1",""
"822ext","Oct1994","228","84","87","5","1","130","1","4","","17","1","1","13","1","4","","14","1","1","11","1","3",""
"822ext","Nov1994","203","79","90","4","","97","2","10","","23","3","","19","2","9","","19","3","","18","1","7",""
"822ext","Dec1994","185","86","90","2","","90","1","2","","29","2","","16","1","1","","23","2","","15","1","1",""
"822ext","Jan1995","139","30","92","","","33","3","11","","20","","","10","2","3","","16","","","8","2","2",""
"822ext","Feb1995","108","11","68","","","35","2","3","","21","","","7","1","2","","14","","","7","1","2",""
"822ext","Mar1995","22","7","14","","","8","","","","11","","","5","","","","10","","","5","","",""
"822ext","Apr1995","33","12","21","","","12","","","","5","","","6","","","","4","","","6","","",""
"822ext","May1995","81","23","37","2","","36","1","5","","9","2","","12","1","1","","8","2","","11","1","1",""
"822ext","Jun1995","45","9","29","1","","14","","1","","14","1","","5","","1","","13","1","","5","","1",""
"822ext","Jul1995","41","22","18","1","","9","2","11","","8","1","","5","2","1","","7","1","","5","2","1",""
"822ext","Aug1995","15","2","7","4","","3","","1","","6","1","","3","","1","","6","1","","2","","1",""
"822ext","Sep1995","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"822ext","Oct1995","34","6","27","","","3","2","2","","13","","","2","1","2","","13","","","2","1","2",""
"822ext","Nov1995","125","28","89","","","34","","2","","12","","","5","","1","","11","","","4","","1",""
"822ext","Dec1995","45","6","34","1","","7","","3","","10","1","","3","","1","","6","1","","3","","1",""
"822ext","Jan1996","10","2","10","","","","","","","7","","","","","","","6","","","","","",""
"822ext","Feb1996","76","5","63","3","","7","3","","","17","1","","6","3","","","16","1","","5","3","",""
"822ext","Apr1996","4","","4","","","","","","","2","","","","","","","2","","","","","",""
"822ext","May1996","10","5","9","1","","","","","","5","1","","","","","","5","1","","","","",""
"822ext","Jun1996","13","2","9","3","","1","","","","6","2","","1","","","","6","2","","1","","",""
"822ext","Aug1996","52","14","43","6","","2","","1","","13","2","","1","","1","","11","2","","1","","1",""
"822ext","Sep1996","12","3","7","","","3","","2","","5","","","1","","1","","4","","","1","","1",""
"822ext","Oct1996","3","2","1","","","","","2","","1","","","","","1","","1","","","","","1",""
"822ext","Nov1996","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"822ext","Dec1996","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"822ext","Jan1997","2","","","1","1","","","","","","1","1","","","","","","1","1","","","",""
"822ext","Feb1997","3","","1","","1","1","","","","1","","1","1","","","","1","","1","1","","",""
"822ext","Mar1997","1","","","","1","","","","","","","1","","","","","","","1","","","",""
