wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"2000","May1998","5","","4","1","","","","","","3","1","","","","","","3","1","","","","",""
"2000","Jun1998","7","2","4","","1","2","","","","3","","1","1","","","","3","","1","1","","",""
"822ext","Apr1991","168","28","94","","","59","10","4","1","18","","","7","2","2","1","12","","","7","2","2","1"
"822ext","May1991","82","17","33","1","","38","6","4","","13","1","","9","4","1","","13","1","","8","4","1",""
"822ext","Jun1991","111","24","57","","","46","6","1","1","17","","","11","1","1","1","16","","","9","1","1","1"
"822ext","Jul1991","63","23","22","","","35","3","3","","6","","","10","3","1","","5","","","9","3","1",""
"822ext","Aug1991","79","6","31","","","44","1","3","","16","","","9","1","3","","15","","","8","1","3",""
"822ext","Sep1991","249","51","105","","","96","23","25","","16","","","10","5","5","","14","","","9","4","4",""
"822ext","Oct1991","314","80","130","","1","122","28","32","1","18","","1","16","4","8","1","16","","1","14","4","8","1"
"822ext","Nov1991","116","19","48","1","","40","14","11","2","11","1","","12","4","5","1","10","1","","11","4","5","1"
"822ext","Dec1991","133","15","58","","","57","14","4","","10","","","12","3","4","","9","","","11","2","3",""
"822ext","Jan1992","75","20","28","","","34","10","3","","7","","","8","4","3","","7","","","8","4","3",""
"822ext","Feb1992","159","49","74","1","","62","7","15","","16","1","","12","3","8","","16","1","","11","3","8",""
"822ext","Mar1992","172","49","52","2","1","95","14","8","","12","2","1","14","5","6","","11","2","1","11","5","6",""
"822ext","Apr1992","61","11","28","","","23","5","4","1","10","","","11","3","2","1","10","","","11","3","2","1"
"822ext","May1992","24","","10","","","11","3","","","5","","","7","2","","","5","","","7","2","",""
"822ext","Jun1992","43","2","17","","","17","9","","","8","","","8","3","","","8","","","8","3","",""
"822ext","Jul1992","50","","22","","","19","9","","","11","","","6","2","","","10","","","5","2","",""
"822ext","Aug1992","28","8","13","","1","8","1","5","","8","","1","4","1","3","","7","","1","4","1","3",""
"822ext","Sep1992","11","4","4","","2","2","2","","1","3","","1","2","2","","1","3","","1","2","2","","1"
"822ext","Oct1992","10","1","7","","1","1","","1","","5","","1","1","","1","","5","","1","1","","1",""
"822ext","Nov1992","13","4","6","","","3","2","2","","5","","","2","1","1","","4","","","2","1","1",""
"822ext","Dec1992","72","31","20","","6","26","2","18","","8","","2","13","2","6","","7","","2","11","2","6",""
"822ext","Jan1993","170","41","61","1","7","67","9","25","","18","1","1","13","3","8","","16","1","1","10","3","7",""
"822ext","Feb1993","174","55","53","","26","85","4","6","","17","","2","14","3","5","","16","","2","10","3","5",""
"822ext","Mar1993","283","78","102","","28","140","1","12","","17","","1","15","1","4","","15","","1","11","1","4",""
"822ext","Apr1993","105","22","47","","1","36","5","16","","11","","1","10","2","6","","11","","1","9","2","5",""
"822ext","May1993","64","9","24","1","","33","1","5","","10","1","","14","1","2","","9","1","","12","1","2",""
"822ext","Jun1993","85","4","47","","","34","2","2","","17","","","10","1","2","","13","","","10","1","2",""
"822ext","Jul1993","12","7","1","","","10","","1","","1","","","6","","1","","1","","","6","","1",""
"822ext","Aug1993","69","8","35","1","","29","","4","","11","1","","7","","1","","10","1","","6","","1",""
"822ext","Sep1993","123","8","65","1","","45","7","5","","18","1","","11","2","4","","15","1","","10","2","3",""
"822ext","Oct1993","101","11","48","1","","44","","8","","9","1","","10","","2","","8","1","","10","","2",""
"822ext","Nov1993","142","59","54","2","","56","","30","","22","2","","13","","5","","19","2","","13","","4",""
"822ext","Dec1993","38","15","9","1","","25","","3","","6","1","","9","","1","","5","1","","8","","1",""
"822ext","Jan1994","32","12","15","","","16","1","","","9","","","5","1","","","7","","","5","1","",""
"822ext","Feb1994","4","3","1","","","3","","","","1","","","2","","","","1","","","2","","",""
"822ext","Mar1994","14","3","10","","","4","","","","5","","","4","","","","5","","","4","","",""
"822ext","May1994","48","24","26","1","","13","","8","","9","1","","8","","2","","9","1","","7","","2",""
"822ext","Jun1994","19","2","12","1","","6","","","","4","1","","4","","","","4","1","","4","","",""
"822ext","Jul1994","40","18","15","","","25","","","","7","","","6","","","","6","","","6","","",""
"822ext","Aug1994","49","18","24","","","25","","","","6","","","9","","","","5","","","9","","",""
"822ext","Sep1994","45","11","16","","","28","","1","","9","","","8","","1","","9","","","7","","1",""
"822ext","Oct1994","211","75","81","5","1","121","1","2","","16","1","1","12","1","2","","13","1","1","10","1","2",""
"822ext","Nov1994","184","67","82","3","","91","2","6","","20","2","","16","2","5","","16","2","","15","1","4",""
"822ext","Dec1994","158","72","72","2","","81","1","2","","25","2","","15","1","1","","20","2","","14","1","1",""
"822ext","Jan1995","126","26","83","","","30","3","10","","16","","","10","2","2","","12","","","8","2","1",""
"822ext","Feb1995","92","9","58","","","31","","3","","17","","","7","","2","","11","","","7","","2",""
"822ext","Mar1995","18","4","13","","","5","","","","11","","","3","","","","10","","","3","","",""
"822ext","Apr1995","17","7","11","","","6","","","","4","","","4","","","","3","","","4","","",""
"822ext","May1995","70","19","37","1","","27","","5","","9","1","","10","","1","","8","1","","9","","1",""
"822ext","Jun1995","39","7","25","","","13","","1","","13","","","5","","1","","12","","","5","","1",""
"822ext","Jul1995","23","8","13","1","","8","1","","","6","1","","4","1","","","5","1","","4","1","",""
"822ext","Aug1995","8","2","3","1","","3","","1","","2","1","","3","","1","","2","1","","2","","1",""
"822ext","Oct1995","23","2","18","","","3","2","","","9","","","2","1","","","9","","","2","1","",""
"822ext","Nov1995","107","21","75","","","32","","","","11","","","4","","","","10","","","4","","",""
"822ext","Dec1995","41","5","31","1","","6","","3","","9","1","","2","","1","","5","1","","2","","1",""
"822ext","Jan1996","7","2","7","","","","","","","5","","","","","","","4","","","","","",""
"822ext","Feb1996","66","2","57","2","","5","2","","","16","1","","4","2","","","15","1","","4","2","",""
"822ext","Apr1996","3","","3","","","","","","","2","","","","","","","2","","","","","",""
"822ext","May1996","7","4","7","","","","","","","4","","","","","","","4","","","","","",""
"822ext","Jun1996","11","1","8","2","","1","","","","6","2","","1","","","","6","2","","1","","",""
"822ext","Aug1996","50","12","41","6","","2","","1","","13","2","","1","","1","","11","2","","1","","1",""
"822ext","Sep1996","12","3","7","","","3","","2","","5","","","1","","1","","4","","","1","","1",""
"822ext","Oct1996","2","1","1","","","","","1","","1","","","","","1","","1","","","","","1",""
"822ext","Nov1996","1","","1","","","","","","","1","","","","","","","1","","","","","",""
