	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Col 1: Excl Berlin	Col 2: Protestant	Col 3: Latitude	Col 4: Longitude	Col 5: Dist Paris	Col 6: Territories	Col 7: Init Urban
							
fpresence1750	-0.565	-0.547	-0.600	-0.435	-0.446	-0.531	-0.458
	[0.281]	[0.308]	[0.356]	[0.244]	[0.278]	[0.294]	[0.267]
fpresence1800	-0.324	-0.336	-0.356	-0.256	-0.244	-0.288	-0.209
	[0.249]	[0.295]	[0.324]	[0.215]	[0.248]	[0.264]	[0.245]
fpresence1850	-0.235	-0.229	-0.261	0.0182	-0.0269	-0.114	-0.136
	[0.275]	[0.310]	[0.356]	[0.210]	[0.242]	[0.257]	[0.261]
fpresence1875	0.324	0.353	0.292	0.623	0.561	0.374	0.418
	[0.324]	[0.312]	[0.374]	[0.250]	[0.271]	[0.305]	[0.284]
fpresence1900	0.552	0.573	0.512	0.893	0.836	0.656	0.650
	[0.411]	[0.370]	[0.451]	[0.321]	[0.325]	[0.382]	[0.363]
protestant1750		5.638					
		[1.470]					
protestant1800		3.354					
		[1.040]					
protestant1850		4.750					
		[2.683]					
protestant1875		6.148					
		[5.324]					
protestant1900		5.342					
		[8.049]					
yr1700	-28.65	-25.69	32.87	-10.96	-14.90	-29.86	-25.29
	[4.296]	[2.531]	[74.65]	[22.43]	[16.42]	[5.730]	[5.035]
yr1750	-25.30	-26.14	-8.170	-12.57	-16.90	-26.57	-22.17
	[3.433]	[2.528]	[66.48]	[18.54]	[13.71]	[4.949]	[5.018]
yr1800	-24.49	-23.62	-7.533	-7.306	-13.51	-25.55	-19.99
	[3.672]	[2.298]	[65.98]	[18.20]	[14.17]	[5.163]	[4.205]
yr1850	-21.30	-21.45	6.324	-16.54	-17.89	-21.60	-20.11
	[2.893]	[3.080]	[60.93]	[17.63]	[12.60]	[4.295]	[4.258]
yr1875	-12.65	-13.47	2.925	-10.42	-10.45	-13.45	-12.97
	[1.368]	[1.338]	[31.75]	[8.660]	[5.980]	[1.834]	[2.272]
o.yr1900	-	-	-	-	-	-	-
							
latitude1750			0.885				
			[0.563]				
latitude1800			0.892				
			[0.475]				
latitude1850			0.678				
			[0.646]				
latitude1875			0.922				
			[1.022]				
latitude1900			1.238				
			[1.546]				
longitude1750				0.419			
				[0.446]			
longitude1800				0.0251			
				[0.521]			
longitude1850				1.169			
				[0.539]			
longitude1875				1.426			
				[1.496]			
longitude1900				1.661			
				[2.260]			
distpa1750					0.00760		
					[0.00561]		
distpa1800					0.00397		
					[0.00512]		
distpa1850					0.0154		
					[0.00707]		
distpa1875					0.0176		
					[0.0195]		
distpa1900					0.0214		
					[0.0286]		
territories1850						-0.0681	
						[0.0286]	
territories1875						-0.00976	
						[0.0895]	
territories1900						-0.0491	
						[0.143]	
urbanization17501800							-0.149
							[0.113]
urbanization17501850							0.265
							[0.159]
urbanization17501875							0.494
							[0.556]
urbanization17501900							0.490
							[0.869]
							
Observations	68	74	74	74	74	74	74
R-squared	0.935	0.921	0.920	0.926	0.924	0.920	0.925
Number of id	12	13	13	13	13	13	13
Number of States	12	13	13	13	13	13	13
p-value joint signif after 1800	0.128	0.0705	0.176	0.0791	0.0625	0.0959	0.109
p-value joint signif covariate		0.0217	0.414	0.0222	0.0815	0.0267	0.123
Robust standard errors in brackets							
