	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	
r1	         0	       .05	        .1	       .15	        .2	       .25	        .3	       .35	        .4	       .45	        .5	       .55	        .6	       .65	        .7	       .75	        .8	       .85	        .9	       .95	         1	 .44262295	 .28421053	 .20930233	
r2	         1	  .8846524	 .78632628	 .70196335	 .62915727	 .56599233	 .51092762	 .46271289	 .42032481	 .38291928	 .34979569	 .32036833	 .29414517	 .27071041	 .24971086	  .2308454	 .21385608	 .19852094	 .18464852	 .17207295	 .16065002	 .38815339	 .52752222	 .61672638	
r3	         1	 .90090304	 .81468411	 .73926633	 .67297635	 .61445208	 .56257474	  .5164187	  .4752121	 .43830696	 .40515634	 .37529557	 .34832827	 .32391443	 .30176107	 .28161494	 .26325614	 .24649299	 .23115799	 .21710429	  .2042026	  .4435037	 .57829847	 .66153666	
r4	 1.4208759	  1.414368	 1.4082873	 1.4025734	 1.3971754	 1.3920494	 1.3871582	 1.3824697	 1.3779564	 1.3735947	 1.3693639	 1.3652464	 1.3612268	 1.3572917	 1.3534296	 1.3496303	 1.3458851	 1.3421864	 1.3385275	 1.3349027	  1.331307	 1.3742295	 1.3886794	 1.3962023	
r5	 1.0329589	 1.0329248	 1.0329163	   1.03293	 1.0329626	 1.0330114	 1.0330739	 1.0331476	 1.0332306	 1.0333208	 1.0334166	 1.0335164	 1.0336186	 1.0337221	 1.0338256	  1.033928	 1.0340284	 1.0341258	 1.0342194	 1.0343084	 1.0343923	 1.0333071	 1.0330528	 1.0329705	
r6	         1	 .98192639	 .96512631	 .94945001	 .93477572	 .92100333	 .90804954	 .89584441	 .88432874	 .87345173	 .86316958	 .85344408	 .84424171	 .83553278	 .82729074	 .81949184	 .81211457	 .80513933	 .79854821	 .79232474	 .78645368	 .87501815	 .91205624	 .93214785	
r7	 .72679105	 .74381481	 .76076515	 .77765902	  .7945115	 .81133607	 .82814484	 .84494864	 .86175719	 .87857931	 .89542293	 .91229528	 .92920288	 .94615168	 .96314715	 .98019424	 .99729747	 1.0144611	 1.0316888	 1.0489842	 1.0663505	  .8760962	 .82283784	 .79764337	
r8	 1.0326799	 1.0520279	 1.0713759	 1.0907239	 1.1100719	 1.1294199	 1.1487679	 1.1681159	 1.1874639	 1.2068119	 1.2261598	 1.2455079	 1.2648559	 1.2842038	 1.3035519	 1.3228999	 1.3422478	 1.3615959	 1.3809439	 1.4002918	 1.4196398	 1.2039573	  1.142658	 1.1136715	
r9	 1.3846893	 1.4095742	 1.4349341	 1.4607729	 1.4870919	 1.5138901	 1.5411643	 1.5689092	 1.5971173	 1.6257797	 1.6548853	 1.6844217	 1.7143749	 1.7447293	 1.7754684	 1.8065742	 1.8380275	 1.8698083	 1.9018954	 1.9342668	 1.9668999	 1.6215227	 1.5325003	 1.4920414	
r10	 .77332747	 .81969974	 .86726259	 .91607148	 .96617576	 1.0176195	 1.0704419	 1.1246776	 1.1803563	 1.2375046	 1.2961441	 1.3562935	 1.4179673	 1.4811767	 1.5459299	 1.6122314	 1.6800822	  1.749481	 1.8204226	 1.8928991	 1.9668999	 1.2289796	   1.05361	 .97564391	
r11	 1.1407539	 1.1491249	 1.1575724	 1.1660948	 1.1746891	 1.1833522	   1.19208	 1.2008676	 1.2097099	 1.2186012	 1.2275353	 1.2365057	 1.2455056	 1.2545278	 1.2635651	   1.27261	 1.2816549	 1.2906921	 1.2997138	 1.3087122	 1.3176796	 1.2172866	 1.1893171	 1.1762958	
r12	         1	 1.1102305	 1.2279647	 1.3534793	 1.4870461	 1.6289312	 1.7793952	  1.938691	 2.1070621	 2.2847437	 2.4719601	 2.6689248	 2.8758387	 3.0928894	 3.3202537	 3.5580906	 3.8065455	 4.0657499	 4.3358172	  4.616845	 4.9089144	  2.257934	 1.7309381	 1.5128053	
r13	 .20371103	  .2261662	 .25014998	 .27571869	  .3029277	 .33183124	 .36248246	 .39493275	 .42923177	 .46542751	 .50356554	 .54368943	 .58584005	 .63005574	 .67637226	 .72482226	 .77543533	 .82823814	 .88325388	 .94050222	         1	 .45996611	 .35261116	 .30817512	
r14	  1.034528	 1.0344509	 1.0344028	 1.0343798	 1.0343786	 1.0343959	 1.0344291	 1.0344755	 1.0345328	 1.0345989	  1.034672	 1.0347501	 1.0348319	 1.0349159	 1.0350007	 1.0350851	 1.0351682	 1.0352489	 1.0353263	 1.0353997	 1.0354682	 1.0345887	 1.0344171	 1.0343805	
