	(1)	(2)	(3)	(4)	(5)
	UNCONSTRAINED	UNCONSTRAINED	UNCONSTRAINED	UNCONSTRAINED	CONSTRAINED
					
	sigma=3	sigma=3	sigma=3	sigma=3	sigma=3
			sections	IV TTB w sections	sections
VARIABLES	dif_ln_imp_5	dif_ln_imp_5	dif_ln_imp_5	dif_ln_imp_5	dif_ln_imp_5
					
unc_pre	0.743***	0.679***	0.720***	0.726***	0.744***
	[0.154]	[0.152]	[0.185]	[0.185]	[0.184]
dif_advalorem_mfn_5	-9.967**	-8.979**	-8.272	-8.397*	-4.300***
	[4.478]	[4.559]	[5.058]	[5.048]	[0.672]
dif_MFA_5		-0.188*	-0.313**	-0.313**	-0.304**
		[0.101]	[0.136]	[0.136]	[0.135]
dif_TTB_5		-0.944***	-0.974***	-1.309	-0.968***
		[0.317]	[0.330]	[0.904]	[0.330]
dif_ln_tcost_5	-2.806***	-2.797***	-2.818***	-2.825***	-2.867***
	[0.455]	[0.452]	[0.452]	[0.450]	[0.448]
2.section			0.320		
			[0.247]		
3.section			0.00978		
			[0.440]		
4.section			0.820***		
			[0.283]		
5.section			0.448		
			[0.341]		
6.section			0.526**		
			[0.220]		
7.section			1.000***		
			[0.253]		
8.section			0.215		
			[0.280]		
9.section			1.248***		
			[0.338]		
10.section			0.759***		
			[0.285]		
11.section			0.407		
			[0.248]		
12.section			-0.167		
			[0.234]		
13.section			0.667**		
			[0.262]		
14.section			0.266		
			[0.332]		
15.section			0.631***		
			[0.233]		
16.section			0.599***		
			[0.221]		
17.section			0.902***		
			[0.294]		
18.section			0.188		
			[0.246]		
19.section			0.838		
			[0.535]		
20.section			0.0761		
			[0.237]		
21.section			0.478*		
			[0.274]		
_Isection_2				0.308	0.312
				[0.248]	[0.247]
_Isection_3				0.00219	0.00694
				[0.439]	[0.440]
_Isection_4				0.822***	0.817***
				[0.283]	[0.283]
_Isection_5				0.447	0.447
				[0.340]	[0.341]
_Isection_6				0.517**	0.530**
				[0.221]	[0.220]
_Isection_7				0.988***	0.995***
				[0.254]	[0.253]
_Isection_8				0.206	0.211
				[0.280]	[0.280]
_Isection_9				1.240***	1.242***
				[0.337]	[0.338]
_Isection_10				0.801***	0.793***
				[0.301]	[0.281]
_Isection_11				0.395	0.442*
				[0.248]	[0.243]
_Isection_12				-0.176	-0.174
				[0.234]	[0.234]
_Isection_13				0.660**	0.665**
				[0.261]	[0.262]
_Isection_14				0.257	0.259
				[0.332]	[0.332]
_Isection_15				0.626***	0.645***
				[0.232]	[0.233]
_Isection_16				0.590***	0.590***
				[0.221]	[0.220]
_Isection_17				0.898***	0.898***
				[0.293]	[0.294]
_Isection_18				0.178	0.178
				[0.247]	[0.246]
_Isection_19				0.828	0.828
				[0.533]	[0.534]
_Isection_20				0.0775	0.0654
				[0.237]	[0.237]
_Isection_21				0.472*	0.483*
				[0.273]	[0.274]
Constant	0.851***	0.871***			
	[0.0853]	[0.0845]			
					
Observations	3,211	3,211	3,211	3,211	3,211
R-squared	0.033	0.039	0.060	0.059	
Restriction (p-val)	0.204	0.300	0.428	0.414	1
F-Stat 1st Stage				10.21	
Over ID Restrict(p-val)				0.592	
Robust standard errors in brackets					
*** p<0.01, ** p<0.05, * p<0.1					
