	(1)	(2)	(3)	(4)
	All NonPref	All NonPref	china & twn	china & twn
		hs6 FE		hs6 FE
	ctry*section FE	ctry*section FE	ctry*section FE	ctry*section FE
	cluster(hs )	cluster(hs )	cluster(hs )	cluster(hs )
VARIABLES	dif_ln_imp_5	dif_ln_imp_5	dif_ln_imp_5	dif_ln_imp_5
				
dif_advalorem_mfn_5	-4.633**		-13.81***	
	[2.331]		[5.123]	
dif_ln_tcost_5	-3.465***	-3.605***	-4.063***	-3.343***
	[0.240]	[0.252]	[0.447]	[0.605]
CHINA_unc_pre	0.751***	0.626***	0.503**	0.706**
	[0.185]	[0.199]	[0.233]	[0.304]
nonCH_unc_pre	0.0720		-0.200	
	[0.0998]		[0.237]	
Constant	0.142***	0.448***	0.520***	-0.0464**
	[0.0528]	[0.0712]	[0.104]	[0.0199]
				
Observations	16,472	16,472	4,662	4,662
R-squared	0.153	0.187	0.236	0.381
Number of hs		3,211		
Number of hs6				2,331
Robust standard errors in brackets				
*** p<0.01, ** p<0.05, * p<0.1				
